series,concurrency,acceptance_rate,acceptance_length,status
qwen3-8-27b-q4-k-m-llama-n-gram,1,12.86,5.85,done
qwen3-8-27b-q4-k-m-llama-n-gram,8,23.58,10.44,done
qwen3-8-27b-q4-k-m-llama-mtp,1,60.97,2.82,done
qwen3-8-27b-q4-k-m-llama-mtp,8,60.74,2.82,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp2,1,72.80,2.45,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp2,8,70.56,2.41,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp3,1,62.23,2.86,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,1,53.69,3.14,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,2,52.55,3.09,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,4,53.06,3.11,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,8,52.23,3.08,done
qwen3-8-27b-q4-k-m-llama-mtp,32,n/a,n/a,blocked_marked_at_last_success
qwen3-8-27b-q4-k-m-llama-n-gram,32,n/a,n/a,blocked_marked_at_last_success
qwen3-8-27b-q4-k-m-llama-q4kv-mtp2,16,n/a,n/a,blocked_marked_at_last_success
qwen3-8-27b-q4-k-m-llama-q4kv-mtp2,32,n/a,n/a,blocked_marked_at_last_success
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,16,n/a,n/a,blocked_marked_at_last_success
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,32,n/a,n/a,blocked_marked_at_last_success
