series,concurrency,mem_gb,status
SGLang/FP8/none,1,n/a,blocked_no_success
llama.cpp/BF16/none,1,3.75,done
llama.cpp/Q4_K_M/MTP,1,9.58,done
llama.cpp/Q4_K_M/MTP,8,10.42,done
llama.cpp/Q4_K_M/MTP,32,10.42,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,1,9.21,done
llama.cpp/Q4_K_M/MTP/q4kv,1,9.28,done
llama.cpp/Q4_K_M/MTP/q4kv,1,9.51,done
llama.cpp/Q4_K_M/MTP/q4kv,2,9.63,done
llama.cpp/Q4_K_M/MTP/q4kv,4,10.1,done
llama.cpp/Q4_K_M/MTP/q4kv,8,9.52,done
llama.cpp/Q4_K_M/MTP/q4kv,8,10.38,done
llama.cpp/Q4_K_M/MTP/q4kv,16,9.52,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,32,9.52,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,16,9.52,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,32,9.52,blocked_marked_at_last_success
llama.cpp/Q4_K_M/n-gram,1,6.01,done
llama.cpp/Q4_K_M/n-gram,8,11.05,done
llama.cpp/Q4_K_M/n-gram,32,11.05,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none,1,5.57,done
llama.cpp/Q4_K_M/none,2,8.64,done
llama.cpp/Q4_K_M/none,4,10.13,done
llama.cpp/Q4_K_M/none,8,10.37,done
llama.cpp/Q4_K_M/none,16,10.37,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none,32,10.37,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none/q4kv,1,5.54,done
llama.cpp/Q4_K_M/none/q4kv,2,8.64,done
llama.cpp/Q4_K_M/none/q4kv,4,9.75,done
llama.cpp/Q4_K_M/none/q4kv,8,10.35,done
llama.cpp/Q4_K_M/none/q4kv,16,10.35,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none/q4kv,32,10.35,blocked_marked_at_last_success
llama.cpp/Q8_0/none,1,4.21,done
vLLM/FP8/none,1,n/a,blocked_no_success
