slug,tpot_median_ms,decode_toks,status
qwen3-8-27b-q4-k-m-llama-c1,78.7,11.56,done
qwen3-8-27b-q4-k-m-llama-c2,92.9,18.72,done
qwen3-8-27b-q4-k-m-llama-c4,125.15,23.945,done
qwen3-8-27b-q4-k-m-llama-c8,205.1,29.77,done
qwen3-8-27b-q4-k-m-llama-n-gram-c1,78.8,11.43,done
qwen3-8-27b-q4-k-m-llama-n-gram-c8,229.9,27.57,done
qwen3-8-27b-q4-k-m-llama-mtp-c1,40.85,19.19,done
qwen3-8-27b-q4-k-m-llama-mtp-c8,324.65,21.695,done
qwen3-8-27b-q8-0-llama-c1,129.85,7.23,done
qwen3-8-27b-bf16-llama-c1,231.05,4.11,done
qwen3-8-27b-q4-k-m-llama-q4kv-c1,77.7,11.8,done
qwen3-8-27b-q4-k-m-llama-q4kv-c8,199.3,30.27,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp2-c1,42.45,19.675,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp2-c8,338.6,20.625,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp3-c1,38.65,19.885,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4-c1,40.5,20.16,done
qwen3-8-27b-q4-k-m-llama-q4kv-c2,91.55,18.715,done
qwen3-8-27b-q4-k-m-llama-q4kv-c4,122.9,24.82,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4-c2,79.2,20.895,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4-c4,154.45,21.755,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4-c8,311.85,21.88,done
qwen3-8-27b-q4-k-m-llama-q4kv-mtp3-c1,38.65,19.885,frontier
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4-c1,40.5,20.16,frontier
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4-c2,79.2,20.895,frontier
qwen3-8-27b-q4-k-m-llama-q4kv-c4,122.9,24.82,frontier
qwen3-8-27b-q4-k-m-llama-q4kv-c8,199.3,30.27,frontier
