series,concurrency,speedup,acceptance_rate,acceptance_length
qwen3-8-27b-q4-k-m-llama-n-gram,1,0.99,12.86,5.85
qwen3-8-27b-q4-k-m-llama-n-gram,8,0.93,23.58,10.44
qwen3-8-27b-q4-k-m-llama-mtp,1,1.66,60.97,2.82
qwen3-8-27b-q4-k-m-llama-mtp,8,0.73,60.74,2.82
qwen3-8-27b-q4-k-m-llama-q4kv-mtp2,1,1.67,72.80,2.45
qwen3-8-27b-q4-k-m-llama-q4kv-mtp2,8,0.68,70.56,2.41
qwen3-8-27b-q4-k-m-llama-q4kv-mtp3,1,1.69,62.23,2.86
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,1,1.71,53.69,3.14
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,2,1.12,52.55,3.09
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,4,0.88,53.06,3.11
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,8,0.72,52.23,3.08
qwen3-8-27b-q4-k-m-llama-mtp,32,0.73,n/a,n/a
qwen3-8-27b-q4-k-m-llama-n-gram,32,0.93,n/a,n/a
qwen3-8-27b-q4-k-m-llama-q4kv-mtp2,16,0.68,n/a,n/a
qwen3-8-27b-q4-k-m-llama-q4kv-mtp2,32,0.68,n/a,n/a
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,16,0.72,n/a,n/a
qwen3-8-27b-q4-k-m-llama-q4kv-mtp4,32,0.72,n/a,n/a
