series,concurrency,decode_toks,status
llama.cpp/BF16/none,1,4.11,done
llama.cpp/Q4_K_M/MTP,1,19.19,done
llama.cpp/Q4_K_M/MTP,8,21.695,done
llama.cpp/Q4_K_M/MTP,32,21.695,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,1,19.675,done
llama.cpp/Q4_K_M/MTP/q4kv,1,19.885,done
llama.cpp/Q4_K_M/MTP/q4kv,1,20.16,done
llama.cpp/Q4_K_M/MTP/q4kv,2,20.895,done
llama.cpp/Q4_K_M/MTP/q4kv,4,21.755,done
llama.cpp/Q4_K_M/MTP/q4kv,8,20.625,done
llama.cpp/Q4_K_M/MTP/q4kv,8,21.88,done
llama.cpp/Q4_K_M/MTP/q4kv,16,21.88,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,16,21.88,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,32,21.88,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,32,21.88,blocked_marked_at_last_success
llama.cpp/Q4_K_M/n-gram,1,11.43,done
llama.cpp/Q4_K_M/n-gram,8,27.57,done
llama.cpp/Q4_K_M/n-gram,32,27.57,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none,1,11.56,done
llama.cpp/Q4_K_M/none,2,18.72,done
llama.cpp/Q4_K_M/none,4,23.945,done
llama.cpp/Q4_K_M/none,8,29.77,done
llama.cpp/Q4_K_M/none,16,29.77,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none,32,29.77,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none/q4kv,1,11.8,done
llama.cpp/Q4_K_M/none/q4kv,2,18.715,done
llama.cpp/Q4_K_M/none/q4kv,4,24.82,done
llama.cpp/Q4_K_M/none/q4kv,8,30.27,done
llama.cpp/Q4_K_M/none/q4kv,16,30.27,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none/q4kv,32,30.27,blocked_marked_at_last_success
llama.cpp/Q8_0/none,1,7.23,done
