slug,concurrency,tpot_ms
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,157.842
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,176.822
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,186.143
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,200.344
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,179.313
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,179.317
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,179.316
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,179.318
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,200.371
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,197.352
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,197.809
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,171.845
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,171.846
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,171.849
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,171.85
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,171.85
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,211.771
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,151.032
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,244.487
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,307.329
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,327.711
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,293.011
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,272.889
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,272.891
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,272.892
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,288.321
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,302.1
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,281.983
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,286.291
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,286.297
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,276.089
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,267.428
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,277.534
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,256.681
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,243.198
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,231.308
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,199.092
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,199.092
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,197.151
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,197.152
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,190.127
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,185.286
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,178.664
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,160.653
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,149.619
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,168.245
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,178.31
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,198.093
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,176.127
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,176.128
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,176.127
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,176.127
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,207.247
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,199.198
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,199.549
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,170.484
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,170.485
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,170.488
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,170.489
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,170.49
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,235.669
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,152.285
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,246.52
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,306.474
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,333.092
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,299.67
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,272.434
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,272.437
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,272.439
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,288.478
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,303.314
