series,concurrency,ttft_p95_ms,status
llama.cpp/BF16/none,1,3924.95,done
llama.cpp/Q4_K_M/MTP,1,8477.8,done
llama.cpp/Q4_K_M/MTP,8,14288.45,done
llama.cpp/Q4_K_M/MTP,32,14288.45,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,1,4436.15,done
llama.cpp/Q4_K_M/MTP/q4kv,1,8245.2,done
llama.cpp/Q4_K_M/MTP/q4kv,1,6349.4,done
llama.cpp/Q4_K_M/MTP/q4kv,2,8027.9,done
llama.cpp/Q4_K_M/MTP/q4kv,4,10193.9,done
llama.cpp/Q4_K_M/MTP/q4kv,8,13206.4,done
llama.cpp/Q4_K_M/MTP/q4kv,8,16167.7,done
llama.cpp/Q4_K_M/MTP/q4kv,16,16167.7,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,16,16167.7,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,32,16167.7,blocked_marked_at_last_success
llama.cpp/Q4_K_M/MTP/q4kv,32,16167.7,blocked_marked_at_last_success
llama.cpp/Q4_K_M/n-gram,1,2290.9,done
llama.cpp/Q4_K_M/n-gram,8,13201.9,done
llama.cpp/Q4_K_M/n-gram,32,13201.9,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none,1,2303.4,done
llama.cpp/Q4_K_M/none,2,3011.35,done
llama.cpp/Q4_K_M/none,4,9669.3,done
llama.cpp/Q4_K_M/none,8,13498.9,done
llama.cpp/Q4_K_M/none,16,13498.9,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none,32,13498.9,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none/q4kv,1,2208.75,done
llama.cpp/Q4_K_M/none/q4kv,2,4480.4,done
llama.cpp/Q4_K_M/none/q4kv,4,8981.05,done
llama.cpp/Q4_K_M/none/q4kv,8,12790.35,done
llama.cpp/Q4_K_M/none/q4kv,16,12790.35,blocked_marked_at_last_success
llama.cpp/Q4_K_M/none/q4kv,32,12790.35,blocked_marked_at_last_success
llama.cpp/Q8_0/none,1,2527.35,done
