epoch	vram_used_bytes
1783956710	25925836800
1783956720	39305961472
1783956730	39305969664
1783956740	39306145792
1783956750	39309225984
1783956760	39309225984
1783956770	39309225984
1783956780	39309225984
1783956790	39309225984
1783956800	39309225984
1783956810	39309225984
1783956820	39309856768
1783956830	39309856768
1783956840	39310721024
1783956850	39310725120
1783956860	39310725120
1783956870	39310725120
1783956880	39310725120
1783956890	39310725120
1783956900	39310725120
1783956910	39310725120
1783956920	39310725120
1783956930	39310725120
1783956940	39310725120
1783956950	39310725120
1783956960	39310725120
1783956970	39310725120
1783956980	39310725120
1783956990	39310725120
1783957000	39310725120
1783957010	39310725120
1783957020	39310725120
1783957030	39310725120
1783957040	39310725120
1783957050	39310725120
1783957060	39310725120
1783957070	39310725120
1783957080	39310725120
1783957090	39310725120
1783957100	39310725120
1783957110	39310725120
1783957120	39310725120
1783957130	39310725120
1783957140	39310725120
1783957150	39310725120
1783957160	39310725120
1783957170	39310725120
1783957180	39310725120
1783957190	39310725120
1783957200	39310725120
1783957210	39310725120
1783957220	39310725120
1783957230	39310725120
1783957240	39310725120
1783957250	39310725120
1783957260	39310725120
1783957270	39310725120
1783957280	39310725120
1783957290	39310725120
1783957300	39310725120
1783957310	39310725120
1783957320	39310725120
1783957330	39310725120
1783957340	39310725120
1783957350	39310725120
1783957360	39310725120
1783957370	39310725120
1783957380	39310725120
1783957390	39310725120
1783957400	39310725120
1783957410	39310725120
1783957420	39310725120
1783957430	39310725120
1783957440	39310725120
1783957450	39310725120
1783957460	39310725120
1783957470	39310725120
1783957480	39310725120
1783957490	39310725120
1783957500	39310725120
1783957510	39310725120
1783957520	39310725120
1783957530	39310725120
1783957540	39310725120
1783957550	39310725120
1783957560	39310725120
1783957570	39310725120
1783957580	39310725120
1783957590	39310725120
1783957600	39310725120
1783957610	39310725120
1783957620	39310725120
