model_label	started_at	finished_at	status	label	command	result	mem	vram_peak_gb	vram_delta_gb
smollm3-3b-q4km	2026-07-13 22:50:32 +0800	2026-07-13 22:50:43 +0800	0	smollm3-3b-q4km-llamabench-pp512-tg128	scripts/bench-llamacpp.sh ggml-org/SmolLM3-3B-GGUF/SmolLM3-Q4_K_M.gguf 512 128 99	RESULT file=ggml-org/SmolLM3-3B-GGUF/SmolLM3-Q4_K_M.gguf		24.15	0.00
smollm3-3b-q4km	2026-07-13 22:50:43 +0800	2026-07-13 23:05:48 +0800	0	smollm3-3b-q4km-serving-c1	scripts/bench-llamacpp-serving.sh ggml-org/SmolLM3-3B-GGUF/SmolLM3-Q4_K_M.gguf 65536 1 1000 900 256 99	RESULT prefill_toks=153.39 decode_toks=68.06 completed=240 errors=0 duration_s=900.0 hit_time_cap=True	MEM mem_gb=15.20 mem_source="system MemAvailable delta (10s sampling)"	30.56	6.42
smollm3-3b-q4km	2026-07-13 23:05:48 +0800	2026-07-13 23:21:01 +0800	0	smollm3-3b-q4km-serving-c8	scripts/bench-llamacpp-serving.sh ggml-org/SmolLM3-3B-GGUF/SmolLM3-Q4_K_M.gguf 65536 8 1000 900 256 99	RESULT prefill_toks=479.06 decode_toks=269.54 completed=966 errors=2 duration_s=907.6 hit_time_cap=True	MEM mem_gb=10.51 mem_source="system MemAvailable delta (10s sampling)"	30.51	6.36
smollm3-3b-q4km	2026-07-13 23:21:01 +0800	2026-07-13 23:31:27 +0800	0	smollm3-3b-q4km-serving-c32	scripts/bench-llamacpp-serving.sh ggml-org/SmolLM3-3B-GGUF/SmolLM3-Q4_K_M.gguf 65536 32 1000 900 256 99	RESULT prefill_toks=629.82 decode_toks=394.15 completed=974 errors=26 duration_s=621.6 hit_time_cap=False	MEM mem_gb=9.00 mem_source="system MemAvailable delta (10s sampling)"	30.50	6.36
llama-3p1-8b-q4km	2026-07-13 23:31:27 +0800	2026-07-13 23:31:50 +0800	0	llama-3p1-8b-q4km-llamabench-pp512-tg128	scripts/bench-llamacpp.sh bartowski/Meta-Llama-3.1-8B-Instruct-GGUF/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf 512 128 99	RESULT file=bartowski/Meta-Llama-3.1-8B-Instruct-GGUF/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf		28.54	4.40
llama-3p1-8b-q4km	2026-07-13 23:31:50 +0800	2026-07-13 23:47:02 +0800	0	llama-3p1-8b-q4km-serving-c1	scripts/bench-llamacpp-serving.sh bartowski/Meta-Llama-3.1-8B-Instruct-GGUF/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf 65536 1 1000 900 256 99	RESULT prefill_toks=53.08 decode_toks=40.5 completed=166 errors=0 duration_s=906.4 hit_time_cap=True	MEM mem_gb=8.71 mem_source="system MemAvailable delta (10s sampling)"	36.61	12.47
llama-3p1-8b-q4km	2026-07-13 23:47:02 +0800	2026-07-14 00:02:15 +0800	0	llama-3p1-8b-q4km-serving-c8	scripts/bench-llamacpp-serving.sh bartowski/Meta-Llama-3.1-8B-Instruct-GGUF/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf 65536 8 1000 900 256 99	RESULT prefill_toks=169.15 decode_toks=150.5 completed=629 errors=1 duration_s=907.3 hit_time_cap=True	MEM mem_gb=9.10 mem_source="system MemAvailable delta (10s sampling)"	36.56	12.41
llama-3p1-8b-q4km	2026-07-14 00:02:15 +0800	2026-07-14 00:17:58 +0800	0	llama-3p1-8b-q4km-serving-c32	scripts/bench-llamacpp-serving.sh bartowski/Meta-Llama-3.1-8B-Instruct-GGUF/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf 65536 32 1000 900 256 99	RESULT prefill_toks=201.14 decode_toks=221.17 completed=956 errors=15 duration_s=937.6 hit_time_cap=True	MEM mem_gb=9.18 mem_source="system MemAvailable delta (10s sampling)"	36.55	12.41
phi-4-reasoning-plus-q4km	2026-07-14 00:17:58 +0800	2026-07-14 00:18:31 +0800	0	phi-4-reasoning-plus-q4km-llamabench-pp512-tg128	scripts/bench-llamacpp.sh unsloth/Phi-4-reasoning-plus-GGUF/Phi-4-reasoning-plus-Q4_K_M.gguf 512 128 99	RESULT file=unsloth/Phi-4-reasoning-plus-GGUF/Phi-4-reasoning-plus-Q4_K_M.gguf		32.41	8.26
phi-4-reasoning-plus-q4km	2026-07-14 00:18:31 +0800	2026-07-14 00:33:46 +0800	0	phi-4-reasoning-plus-q4km-serving-c1	scripts/bench-llamacpp-serving.sh unsloth/Phi-4-reasoning-plus-GGUF/Phi-4-reasoning-plus-Q4_K_M.gguf 65536 1 1000 900 256 99	RESULT prefill_toks=51.71 decode_toks=21.42 completed=76 errors=0 duration_s=908.2 hit_time_cap=True	MEM mem_gb=9.35 mem_source="system MemAvailable delta (10s sampling)"	44.99	20.85
phi-4-reasoning-plus-q4km	2026-07-14 00:33:46 +0800	2026-07-14 00:48:59 +0800	0	phi-4-reasoning-plus-q4km-serving-c8	scripts/bench-llamacpp-serving.sh unsloth/Phi-4-reasoning-plus-GGUF/Phi-4-reasoning-plus-Q4_K_M.gguf 65536 8 1000 900 256 99	RESULT prefill_toks=167.92 decode_toks=81.47 completed=289 errors=0 duration_s=905.2 hit_time_cap=True	MEM mem_gb=9.01 mem_source="system MemAvailable delta (10s sampling)"	44.94	20.79
phi-4-reasoning-plus-q4km	2026-07-14 00:48:59 +0800	2026-07-14 01:05:22 +0800	0	phi-4-reasoning-plus-q4km-serving-c32	scripts/bench-llamacpp-serving.sh unsloth/Phi-4-reasoning-plus-GGUF/Phi-4-reasoning-plus-Q4_K_M.gguf 65536 32 1000 900 256 99	RESULT prefill_toks=198.47 decode_toks=131.38 completed=508 errors=12 duration_s=974.7 hit_time_cap=True	MEM mem_gb=7.62 mem_source="system MemAvailable delta (10s sampling)"	44.93	20.79
deepseek-r1-distill-qwen-14b-q4km	2026-07-14 01:05:22 +0800	2026-07-14 01:05:55 +0800	0	deepseek-r1-distill-qwen-14b-q4km-llamabench-pp512-tg128	scripts/bench-llamacpp.sh bartowski/DeepSeek-R1-Distill-Qwen-14B-GGUF/DeepSeek-R1-Distill-Qwen-14B-Q4_K_M.gguf 512 128 99	RESULT file=bartowski/DeepSeek-R1-Distill-Qwen-14B-GGUF/DeepSeek-R1-Distill-Qwen-14B-Q4_K_M.gguf		32.23	8.08
